round	timestamp	action	description	source	sharpe	roi_pct	brier	trades	status	note
91	2026-07-13T23:16:35.598823+00:00	mutation	'blend 0.40'	v2_mutation	0.2151	53.65	0.3931	2115	reject	
92	2026-07-13T23:16:37.024408+00:00	mutation	'blend 0.40'	v2_mutation	0.2151	53.65	0.3931	2115	reject	
93	2026-07-13T23:16:38.374623+00:00	mutation	'kelly 0.10'	v2_mutation	0.215	53.63	0.393	2115	reject	
94	2026-07-13T23:16:39.511969+00:00	mutation	'kelly 0.20'	v2_mutation	0.2152	53.66	0.393	2115	reject	
95	2026-07-13T23:16:40.637035+00:00	mutation	'Boost ICON + GEM, trim UKMO'	v2_mutation	0.2152	53.65	0.393	2115	reject	
96	2026-07-13T23:16:41.796092+00:00	mutation	'min_edge 0.02'	v2_mutation	0.2142	53.65	0.3889	2138	reject	
97	2026-07-13T23:16:43.010771+00:00	mutation	'Boost ECMWF + ICON, trim GFS'	v2_mutation	0.2153	53.67	0.3929	2116	reject	
98	2026-07-13T23:16:44.233360+00:00	mutation	'Boost GFS + JMA, trim ICON'	v2_mutation	0.2152	53.65	0.3931	2115	reject	
99	2026-07-13T23:16:45.353991+00:00	mutation	'blend 0.45'	v2_mutation	0.2152	53.65	0.393	2115	reject	
100	2026-07-13T23:16:46.492023+00:00	mutation	'blend 0.40'	v2_mutation	0.2151	53.65	0.3931	2115	reject	
